date,open,high,low,close,volume,sma_20,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,published_at,sentiment_score,sma_50,sma_200,ema_50,ema_200,volatility,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2023-11-01,0.15090557476488742,0.1377133796704565,0.15770309679385708,0.1441289913985283,0.09214829996008317,26.054556465148927,25.900202240573886,0.14985554657735234,0.0,0.0,0.40295782628330523,0.213795916180044,0.1963863755027877,0.1988987849955982,2025-03-06 21:30:57,0.0,0.34205124193433223,1.0000000000000004,0.2999824289075501,1.0,0.19332748495795984,0.1474635319610661,0.16673015403149372,0.1559853294754341,0.1659891692494151,0.13634825136169493
2023-11-02,0.1595907460861936,0.1518844321587659,0.17179733318216983,0.1619134985138868,0.07506866290534946,25.91651391983032,25.82310571341869,0.21481000326048327,0.01360949095219044,0.007163994737759749,0.42019763423535716,0.20641826878436742,0.18952360486279307,0.19576447934312402,2025-03-06 21:30:57,0.0,0.3325087325286762,0.9856437822506141,0.2922702598637965,0.986556680045509,0.18826690526639855,0.1441289913985283,0.1474635319610661,0.16673015403149372,0.1559853294754341,0.1659891692494151
2023-11-03,0.19469345591095621,0.1994845700627098,0.2163656065806271,0.20378135591273583,0.13991385114001276,25.786734485626223,25.857971601691503,0.3472012840342106,0.040168824651611285,0.018937253895162737,0.45841779194447296,0.19332561188468378,0.1830716339238676,0.20161417917777757,2025-03-06 21:30:57,0.0,0.32525642622289874,0.9707519748735978,0.28739380603687925,0.9745532971502113,0.17148898853217284,0.1619134985138868,0.1441289913985283,0.1474635319610661,0.16673015403149372,0.1559853294754341
2023-11-06,0.21930156076939034,0.20911358354274756,0.23019322628407346,0.21008005368995586,0.0940249867440378,25.683688735961915,25.905256188442145,0.3652243643612705,0.06486990276516594,0.03397518438970015,0.48548854380716794,0.18237376630562385,0.17794872530362849,0.20705354255251474,2025-03-06 21:30:57,0.0,0.3182784704179893,0.9565964574006047,0.2830896978055082,0.9628658545546811,0.15708130380571148,0.20378135591273583,0.1619134985138868,0.1441289913985283,0.1474635319610661,0.16673015403149372
2023-11-07,0.19686471037956854,0.18858377173801377,0.21293724316952123,0.19933515643844035,0.0780594462880327,25.515996170043948,25.92118800699081,0.3347292381297452,0.08222661994555198,0.049954061012727896,0.4932908971009865,0.15891929269610083,0.1696119070040889,0.22395198301834018,2025-03-06 21:30:57,0.0,0.30994070250007577,0.9418955986337187,0.2783042420833093,0.9509594909368833,0.12263908608014173,0.21008005368995586,0.20378135591273583,0.1619134985138868,0.1441289913985283,0.1474635319610661
2023-11-08,0.1910746266653368,0.1860403149576908,0.21141363280226233,0.18562632005861002,0.06181746688988317,25.32691688537598,25.90134670969416,0.2965388277887451,0.09265633988347942,0.06510985092902877,0.4864658376391525,0.12641510759144925,0.16021185022843643,0.2516616677853748,2025-03-06 21:30:57,0.0,0.3003385566671197,0.9265620936980965,0.2728769776807416,0.9387439171103074,0.07197571973614128,0.19933515643844035,0.21008005368995586,0.20378135591273583,0.1619134985138868,0.1441289913985283
2023-11-09,0.18021813147597787,0.16983441485510942,0.18360602006092364,0.15969047147219495,0.06225833934071695,25.22581539154053,25.818586259652136,0.22969376914284811,0.09351764920510924,0.0774304247316562,0.4629561412671633,0.11673589375925453,0.1551856000824967,0.2554753455029918,2025-03-06 21:30:57,0.0,0.2905336254502564,0.9106165071156065,0.2660932599387831,0.9258407575216303,0.05992113309684304,0.18562632005861002,0.19933515643844035,0.21008005368995586,0.20378135591273583,0.1619134985138868
2023-11-10,0.15814320833818452,0.1506127087823418,0.17332110088252428,0.16006100021096226,0.05756364351291936,25.163113021850588,25.744633638755207,0.2310396500602101,0.09552674614321707,0.08774393932900165,0.4463135466200654,0.11200791249217923,0.15206835835985943,0.25601889154712965,2025-03-06 21:30:57,0.0,0.2816471658919477,0.8944198624120827,0.2595979897380576,0.9130775471527022,0.05493427860349336,0.15969047147219495,0.18562632005861002,0.19933515643844035,0.21008005368995586,0.20378135591273583
2023-11-13,0.1697234692398848,0.1582432249972785,0.17979682515220552,0.15969047147219495,0.1437959118016789,25.071246719360353,25.676798243088324,0.23003772252788968,0.09816841953673855,0.09659571329831673,0.4341927498406377,0.101621756427137,0.1475012347815472,0.2617575132074267,2025-03-06 21:30:57,0.0,0.27168717341116455,0.8783281645152514,0.2533350166213022,0.9004297743297727,0.04087435443286087,0.16006100021096226,0.15969047147219495,0.18562632005861002,0.19933515643844035,0.21008005368995586
2023-11-14,0.18275131613326334,0.18785708629018016,0.20189049961881966,0.19525955839836795,0.19287931414545217,25.074163150787356,25.70430380940878,0.35880149832090147,0.1130989419451319,0.10707372229480058,0.4476775390719942,0.10197693370179772,0.14764622486358747,0.26153896519221875,2025-03-06 21:30:57,0.0,0.2626814316369135,0.863389117389791,0.24946981099787502,0.8890175167522187,0.04137040296385732,0.15969047147219495,0.16006100021096226,0.15969047147219495,0.18562632005861002,0.19933515643844035
