Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,9.820675057317697,9.845433629123292,9.490568636934297,9.589600563049316,12535000,0.0,0.0
2023-01-04 00:00:00-05:00,9.57309737465114,9.754655545327001,9.531833867848105,9.622612953186035,12865200,0.0,0.0
2023-01-05 00:00:00-05:00,9.597853965962228,9.870191975020077,9.597853965962228,9.845434188842773,12246200,0.0,0.0
2023-01-06 00:00:00-05:00,9.903204016138524,10.060004400098236,9.886698298334375,10.026993751525879,11341400,0.0,0.0
2023-01-09 00:00:00-05:00,10.167289662264345,10.25806954020055,10.10952122142202,10.159037590026855,12347100,0.0,0.0
2023-01-10 00:00:00-05:00,10.2168037907904,10.241561576146577,10.1012661474019,10.225056648254395,8750400,0.0,0.0
2023-01-11 00:00:00-05:00,10.29933173813079,10.381858752591866,10.26632108975355,10.340595245361328,8658800,0.0,0.0
2023-01-12 00:00:00-05:00,10.414869785224472,10.530407452325537,10.340595626876356,10.431375503540039,10386800,0.0,0.0
2023-01-13 00:00:00-05:00,10.431375099315947,10.464385747631924,10.365353802683993,10.456132888793945,5837500,0.0,0.0
2023-01-17 00:00:00-05:00,10.472636786895723,10.604680154176897,10.406615496773066,10.414868354797363,14703200,0.0,0.0
2023-01-18 00:00:00-05:00,10.538660578974344,10.63769253027346,10.315838098274345,10.324090957641602,13843100,0.0,0.0
2023-01-19 00:00:00-05:00,10.31583705581674,10.423121855641543,10.249815761622386,10.398364067077637,11364400,0.0,0.0
2023-01-20 00:00:00-05:00,10.53040599822998,10.563416643266859,10.414868347082981,10.53040599822998,10182900,0.0,0.0
2023-01-23 00:00:00-05:00,10.687208482632721,10.786240437362515,10.604682247209235,10.736724853515625,17524100,0.0,0.0
2023-01-24 00:00:00-05:00,10.720218325848595,11.281400147370716,10.596428588529752,10.786239624023438,10545400,0.0,0.0
2023-01-25 00:00:00-05:00,10.761481504150375,10.868766307155433,10.612933194291688,10.85226058959961,11125100,0.0,0.0
2023-01-26 00:00:00-05:00,11.116346908110817,11.165862488251488,10.827503138158406,11.141104698181152,24145900,0.0,0.0
2023-01-27 00:00:00-05:00,11.15760947337487,11.19887219099319,10.951292737139706,11.025566101074219,16136300,0.0,0.0
